id,coder,content_type,culture,extract,Cause_type
99,calsbeek,Case,Chukchee,"Oh! why have I not begun with the father first? He was breaking wind badly, and could not defecate normally. In his anus was formed a white stone, a soft one, round in form and polished. They found it in his rectum after his death. That one asked to be killed. The elder son was assisting him. He seemed sighing his last, but unexpectedly tore out the knife and came to life again. Since he could not be killed by stabbing, he said, ""Tighten it on me!"" So they strangled him with a rope. When he was dead, they carried him away into the tundra, and, putting his body on the ground, investigated his rectum. There they found the white stone. Still when alive, he defecated stone or sand, and who knows what not!","illness,bodily trauma"
100,calsbeek,Case,Chukchee,"'One ElI'hIkI had taken a great quantity of goods on credit from a merchant of Yakutsk. Several years passed, and the debt was not fully covered. One spring he left his home and went to Sredne-Kolymsk from a distant place in the tundra. At the same time all the people passed over to the other shore of the Omolon River. His brother was Rultu'wgi. They drank brandy there in the tent of U'nkuul, a Tungus. A hernia, which was an object of constant care with him, was frost-bitten, and therefore refused to go in. Thus ill-luck visited him. He suffered great pain and sorrow because he could not put his bowels in place. Therefore he began to speak, requesting his companion in marriage to give him death. U'nkuul was his companion in marriage. The neighboring camp was that of his younger brother. ElI'hikI went to the town with them, without a tent of his own. His wife had very small children, (and could not go with them.) Then he was afflicted in the manner aforesaid; and, since his father died a voluntary death, he wanted to imitate his father. [Story of father's voluntary death] Therefore, being at the tent of his marriage-companion, he asked to be killed. They listened to him, and wanted to obey him. In obedience to him, they put him on a grated sled and took him to his brother's tent. There they executed his desire. The younger brother was assisting him, but he could not do it in a proper way. His hand trembled. He himself said, ""There, turn the knife a little more aside;"" but his assistant could not do it. Then he used that very word of his father,....""Tighten it on me!"" Indeed, they strangled him with a rope and killed him. That was the end.'","death_loved_one,illness,bodily trauma"
101,calsbeek,Case,Chukchee,"[p. 567-568] ""Voluntary death occurs also among the Maritime Chukchee and the Eskimo, and with the same details as among the Reindeer people. I know of only a few cases, however. Thus, in the village of Eu'nmum, a man of middle age, who suffered from an abscess in his side, had himself strangled with a rope.","illness,bodily trauma"
102,calsbeek,Case,Chukchee,"In the year 1898, in the Eskimo village of UI'sak, an old man was shot at his own request. He was shot from behind. This is the only case of voluntary death known to me, where the death-stroke was dealt from behind.",unknown
103,calsbeek,Case,Chukchee,"Dall describes part of these doings as an eye-witness. 'When we arrived, everything was ready. The women and children were cutting up the deer-meat, and the blood was on the head-stone. The victim, a blind but not decrepit man, was sitting by the head-stone,'....etc. Further on Dall mentions that the natives were much disturbed at the approach of the Americans, and, fearing interference, refused to go on until the vessels had left.",unknown
106,calsbeek,Case,Chukchee,"I know some cases of boys and girls who were not yet twenty, and who killed themselves from spite, shame, or sorrow....","interpersonal_confli,emotional distress"
108,calsbeek,Cultural model,Chukchee,"Other Chukchee of my acquaintance added the following explanation: 'Among our people, when a father is very angry with his lazy and bad son, he says, ""I do not want to see him any more. Let me go away."" Then he asks to be killed, and charges the very son who offended him with the execution of his request. ""Let him give me the mortal blow, let him suffer from the memory of it.""","interpersonal_confli,family tension,family shame,emotional distress"
109,calsbeek,Cultural model,Chukchee,Deep sorrow on account of the loss of some near friend must also be mentioned as a reason for voluntary death.,"death_loved_one,emotional distress"
110,calsbeek,Cultural model,Chukchee,"The most peculiar cause for voluntary death is the wrath, the lack of patience, of the Chukchee, which was mentioned by Lotteri as early as 1765....Unable to fight against suffering of any kind, physical or mental, the Chukchee prefers to see it destroyed, together with his own life.","interpersonal_confli,psychological distre,mental illness,emotional distress,bodily trauma"
112,calsbeek,Cultural model,Chukchee,"Nevertheless, when the formula is pronounced aloud, no retreat is possible, because the spirits who have listened to the promise would severely rataliate at any failure to fulfil it. Thus it appears that voluntary death is at the same time considered as a preventive against death from the wiles of the ke'let [JMR: harmful spirits] (i.e., against natural death), and also as a sacrifice to the ke'let. This kind of contradiction is often met with in the ideas of the Chukchee....The two ideas refer to quite different aspects of voluntary death."" [p. 564] ""A man who is contemplating voluntary death thinks that he will free himself from death by the action of the ke'let [JMR: harmful spirits], but, when the time of execution comes, the voluntary death cannot be considered other than a bloody sacrifice to the same ke'let; and, though it is not considered a direct means of gaining their good-will, failure to fulfil the promise of the sacrifice brings, according to the ideas of the Chukchee, severe anger and retaliation on the part of the spirits.""",fear of supernatural
113,calsbeek,Cultural model,Chukchee,"The people avoid annoying him [who requests voluntary death]; even though he chides them, they must keep silent. Here it should be remembered that some cases of voluntary death originate in wrath....",emotional distress
115,calsbeek,Cultural model,Chukchee,"Another expression is used chiefly in folk-tales: 'Since I became for thee like they quarry'...., or, more directly, 'Like they quarry treat me'....These formulas are used by warriors when they are vanquished by an adversary and do not want to outlive their defeat. The meaning is, 'Give me a mortal stroke, since I have become for you as a game-animal.'","military_defeat,failure or sense of "
116,calsbeek,Cultural model,Chukchee,"Most of the marriages between relatives are concluded at a tender age, sometimes when the bridegroom and the bride are still infants. The marriage ritual is performed, and the children grow up, playing together. When a little older, they tend the herd together. Of course, the ties between them grow to be very strong, often stronger even than death: when one dies, the other also dies from grief, or commits suicide.","death_loved_one,loneliness,emotional distress"
117,calsbeek,Cultural model,Eastern Toraja,There have also been cases of suicide committed by girls who were forced to marry a man whom they did not want.,"interpersonal_confli,forced marriage"
120,calsbeek,Cultural model,Eastern Toraja,"Over against the honor that was shown the tadoelako stands the fact that he carried great responsibility. Whenever any of the troop fall in battle, the tadoelako is asked about this upon returning to the village, especially if there is no success whatsoever to report. The kin group of the slain is angry with him and reproach him for not having paid enough attention to the signs (the instructions of the gods); otherwise the casualties would have been avoided. The tadoelako defends himself by blaming the reason for the ill-luck on the failure to follow his commands. There are tadoelako who take such an accusation so much to heart that they run amok or commit suicide in some other way.","military_defeat,failure or sense of "
121,calsbeek,Case,Garo,"Garos describe suicide as if it were a punishable offense. One of the loskors told me of a woman who had been very sick and in great pain, and who had finally cut her own throat. (Pain, disease, and crippling old age were the usual reasons given for suicide.) She did not die for a week and was taken to the hospital in Tura, where the loskor was able to question her. She denied that anyone else had done this, and so, as Rate explained [p. 256] it, he was unable to press the case because there was no complainant. Characteristically, he felt that even suicide required a complainant, in accordance with the Garo idea that the only wrong action is one that harms another, and that the injured person has the right to press for damages.",illness
122,calsbeek,Cultural model,Garo,"(Pain, disease, and crippling old age were the usual reasons given for suicide.)","infirmity,illness"
123,calsbeek,Case,Garo,"In the few stray instances recorded by us, both men and women were involved, and the cause in all were frustration in love.","interpersonal_confli,failed romantic rela,family tension,emotional distress"
124,calsbeek,Case,Garo,"We came across the case of a woman who attempted to commit suicide, but was saved due to timely intervention of fellow villagers. Afterwards she could continue normal life in the same village without becoming an object of ridicule or criticism.",unknown
125,calsbeek,Cultural model,Garo,"In Garo society suicide is taken in the most matter-of-fact way. No dreadful fear is expressed towards suicide, nor is there any positive social sanction for it.",unknown
126,calsbeek,Case,Iban,"Son of old woman allowed house to catch fire, subjecting family to slavery. So mother killed family.",fear of enslavement
127,calsbeek,Cultural model,Iban,"Suicide is of frequent occurrence among the females, but is rarely resorted to by the males. The women are so keenly sensitive to disgrace, that they will not part with their virtue for fear of the consequences. They prefer death to a life of shame, and many girls have committed suicide rather than face the displeasure of their parents and the jibes of their sex.","ridicule ,family shame,emotional distress"
129,calsbeek,Cultural model,Iban,Women have also been known within recent times to commit suicide to avoid the shame and disgrace of being sold into slavery.,fear of enslavement
130,calsbeek,Cultural model,Iban,"There is a hill in Sabaian (the next world), says tradition, covered with tuba, and suicides there enjoy undisturbed repose beneath the shade of the poisonous shrub. Despairing lovers, whose union upon earth was forbidden by harsh and unfeeling parents, are here reunited.","interpersonal_confli,thwarted marriage,inability to marry,family tension"
131,calsbeek,Case,Ifugao,"Marriage is a mere alliance, and as little dependable as an alliance between nations. If a controversy between near kinsmen from their respective families arises, the spouses may try for peace, but, if the affair becomes bitter, each will adhere to his own family, and the marriage will dissolve. [p. 100] If distant kinsmen be at controversy, the spouses may temporize and evade a stand, and bring the matrimonial bark safely through. But if they want an excuse for a divorce, such an occasion offers it. While the marriage lasts, each spouse is considered a member of the family of the other, functions as such, and is often able to command, in time of need, the aid of the other's brothers, possibly sisters' husbands, and even cousins. This is especially probable if the marriage has been blessed with children. Nothing else so strengthens the alliance. An instance will show. In the next house but one to mine there in the village, lived a youth, Soft Stone. Although of poor stock and from a remote region, he was married to a girl of rather uppish family. He had been able to hawk above his station because of the fact that at the time of his marriage he was working as a stonecutter (having learned that trade through working on the school building) and earning forty cents a day. But the demand for his trade had ceased, and he would work at nothing else. This couple had a baby boy. Next door to them lived Persimmon, a soldier in the Philippine Constabulary, and his wife, Cicada (or, as we might translate, Seventeen-Year-Locust). The two were incompatible. I remember the names because of their suggestion of the dominant traits of the individuals and of the [p. 101] sources of the domestic friction. A situation already bad was complicated further by the fact that Cicada's mother, from whom the girl inherited her signal characteristic, was a third member of the household. One day Persimmon suggested a divorce. For once, Cicada agreed with him--too quickly, indeed. Then she lapsed into silence and thought--both unusual. Between her vocal cords and her mind there seems to have existed the same relation as between the whistle and the engine of a traditional Mississippi tug-boat: when either worked it required all the steam, and the other had to quit. Viewing her thus silent, and contemplating her curves, almost none of which were concealed by clothing, Persimmon found her as irresistibly attractive to the eye as she was usually irritating to the ear. He repented of his suggestion--that was his first mistake. Cicada was thinking about alimony. (It has often been observed that primitive folk take most heartily to the doubtful importations civilization brings.) A new company commander had been allowing alimony to divorcees of soldiers. Cicada went straightway to the C.O., who, over Persimmon's protest that he still wanted her, granted a divorce with alimony until such time as she should again become a bride--which, she declared, would be never! Persimmon took her at her word, and the prospect [p. 102] appalled him. A second mistake, perhaps, although he might be presumed to know better than anybody else of what her malice was capable. And he could hardly be optimistic, since she was his fourth wife to turn out disappointingly. Persimmon's comrades in arms noted a change in him immediately after the next pay day and later testified they had had an inkling of tragic possibilities. He would whet his mess kit knife for hours at a time. When they asked him why he was so preoccupied thus, he answered, ""Oh, some day we'll kill a fat hog for the company, and I'll be the one to cut it up."" He presented the characteristic symptoms of a Malay generating that form of brainstorm that has enriched our language with the word ""amok."" One night Persimmon went to his former home and called on Cicada and her mother. He sat down in the door-way and talked for a few moments with disarming friendliness. Then he called to Soft Stone in the next house, inviting him over. ""Soft Stone,"" he said, ""when are you going to pay me that three pesos and a half you borrowed for a month--more than a year ago?"" ""Oh!"" said Soft Stone, ""I know that I have been a little slow, but after next harvest I will go to the lowlands to work for the government on bridges, and then I'll repay you."" [p. 103] Quicker than a snake strikes, Persimmon stabbed the youth deeply in the abdomen. Before Cicada could jump out of the back door, only six feet away, he had caught her and stabbed her twice through the left breast. He turned to murder his mother-in-law, but she had escaped. Possibly he had been looking forward too fondly to that dnouement and could not brook his disappointment. At any rate, he did a most un-Ifugao-like thing: he attempted suicide, stabbing himself deep into the liver several times. Himself he could not kill--though he made an honest effort--and was the only one of the three to survive. It was the only instance of suicidal attempt I heard of during my years in Ifugaoland. Thus Persimmon. He did not suspect Soft Stone of alienating his wife's affections--it was simply that he loved life less than he hated the parasitism of women. And, while punishing that, he thought well to punish also the parasitism of ""I'll-pay-you-pretty-soon."" Soft Stone's wife had been christianized. She called the missionary, who, while I was bandaging the wounds inflicted on her husband, baptized him and made him a christian--a thing about which poor Soft Stone had no say, since he was unconscious during the whole process. Indeed the padre finished just in time. Soft Stone was buried in holy ground next day. [p. 104] Cicada died two days later. Her body was set under the eaves of her house, a knife in one hand, a spear in the other. Just as her mother and female kin had begun to shout incitations to her soul not to let death interrupt her harrying of Persimmon, there arrived a delegation from Palao, six miles away. The foremost member, a woman, went directly to the grief-stricken mother and began cuffing her, saying, ""Curse you, Sister-in-law! This is what comes of your meddling. You egged them to it!"" I asked a bystander why the woman from Palao acted so. ""Because she is Cicada's father,"" was the answer. Further questioning elicited the fact that she was the eldest sister of Cicada's deceased father and was the ""center"" of his family group. However much she blamed the sister-in-law for the tragedy, she soon allied herself with her in the incitations to Cicada's soul. Ifugaos reckon relationship by generations. All terms except those for ""father"" and ""mother"" (and a few that are rarely used) are common in gender. An individual is sibling (brother or sister) to all his kin of the same generation, child (son or daughter) of all his kin of the preceding generation, grandchild of all generations before that. He is father or mother to the generation succeeding his own and grandparent to all that follow. How little important is sex even in the distinction made as to parents is shown by the [p 105] fact that the father's sisters are usually called ""mothers,"" but at his death, the eldest sibling, whether male or female, steps into his place and becomes known as the ""father."" If it be desired to be specific in the case of a term common in regard to sex, the words ""male"" or ""female"" are appended, as ""male grandparent."" And now comes the illustrativeness for which I have inserted this bit of the history of my home village. Although we have seen Soft Stone given respectable Christian burial, we are not through with him. Soft Stone's wife had also a female father, who had taken her to rear after the death of her parents--shall we say, ""of the first instance?"" This female father was the wife of the American-appointed ""president"" of Kurug, a region a good half-day's hike distant. She and her husband were a devoted couple and always did what in her opinion was right. When they heard of the stabbing of her son-in-law, they came immediately, only to find him buried already and in an outlandish manner. Great was the wrath of the female father and consequently of her husband, who, I suppose, was a father of the third instance. ""Soft Stone,"" they said, ""is not of our blood, and it would not matter to us if they used him for hog feed except that he has a child by our daughter. That quite changes [p. 106] the matter. He is going to be buried according to good custom and with all the correct vengeance ceremonies, that his son, a member of our family, be not disgraced forever and we shamed along with him."" They had a great controversy with Rome over the question, but Rome was not strong with our local Csar. They went to the Holy ground, dug up Soft Stone's body, and gave it a new funeral, conducted jointly with Cicada's and according to good custom. For this propriety, the soul of Soft Stone, not knowing that it became a christian, may thank the baby that united him to a determined female father-in-law!","interpersonal_confli,rejection,failure or sense of ,failed romantic rela"
132,calsbeek,Cultural model,Korea,"There are a great many bad mothers-in-law in Korea, although there are certainly good specimens too. Sometimes things get to such a pass that the young wife commits suicide, either by plunging into a river or by taking a big dose of washing powder, a commodity kept in every house.","interpersonal_confli,family tension"
133,calsbeek,Case,Korea,"A 22-year-old son who reportedly was dominated by his mother and had no other way to protest against the situation, ran out of the house, jumped into the water and started swimming out to sea. The screams of his sister finally alerted rescuers who went after him with a boat while the mother yelled, ""What is a human life? Something to be crushed like a fly!"" We watched all this from our vantage point on the hill as if it were some violent tragedy performed on a far-off stage. The boy was brought back unharmed, and the mother went on cursing and screaming for several hours. She roamed about [p. 207] the neighborhood pounding on the doors of houses and commenting on the sexual peculiarities of the men who lived inside; anyone in her path was likely to be sworn at and pummeled. A day or so later when she had calmed down, a group of neighbors visited her to ask that more consideration be given to the children. It was also pointed out that a repetition of such acts would probably bring a police investigation. Despite the exceptional and scandalous nature of these cases as well as the intensity of the animosity that was generated, none of the persons involved considered leaving the village or even renouncing his family ties. In both cases neighbors and kinsmen intervened in an attempt to promote some sort of acceptable settlement. Villagers spoke disparagingly of everyone concerned, however, and their low personal status was further emphasized.","interpersonal_confli,family tension"
134,calsbeek,Case,Korea,"Dispute over a Concubine This man (the elder brother in the previous account) had led an eventful life. In 1964 and 1965 he had been living in Seoul, where he dealt illegally and profitably in cosmetics. During that time he acquired both a wife and a concubine and maintained two houses. This style of living combined with a disastrous police raid forced his return to S[unknown] okp'o with the two women as a penniless dependent of his parents. His relatives and wife were anxious to get rid of the concubine, who was pregnant, but the son was adamant and they all continued to live together. The wife's account of this story was somewhat ambivalent; at one point she boasted of her husband's prowess in attracting and satisfying two young women, and then complained that the situation was unbearable. [p. 211] At any rate, things deteriorated to a point where she attempted suicide in protest, and the concubine was eventually moved out of the house with her baby to a room in a different neighborhood. Then while the son was away on an extended fishing trip, his mother and wife simply refused to give the girl any food and she was forced to go back to Seoul. When the husband returned, there was a big family quarrel with lots of noise and he beat his wife, but the situation had finally been resolved to the relief of kin and neighbors. The weakness of the concubine's position, which depended entirely on the personal support of her lover, is readily apparent. Since the wife had provided a son, there was no justification at all for the woman's presence in the village. Still, if the husband had been able to provide more generous material support, he probably could have maintained his polygynous household, at least for a time. While the impulsive and tyrannical behavior of this eldest son was tolerated temporarily, without wealth he was unable to have his way in the face of the united opposition of parents, wife, and village opinion.","interpersonal_confli,disappointment in ma,family tension,bring in cowife"
135,calsbeek,Case,Korea,"Shamans play a significant role in folk religion. When a family has suffered continuously from various misfortunes, it is common to consult a shaman, because illness and misfortunes are often viewed as the result by angers of spirits who govern functionings of human daily life. A shaman usually recommends that the wife of the household perform a shamanic casting away ceremony in order to relieve the anger of bad spirits. The date of the performance is set for one of the ""clean"" days according to the [p. 191] lunar calendar.7 ) On the day of the ceremony, the wife of a household cleans the whole house. The ceremony starts at dinner time before the sunset and lasts until one or two o'clock in the morning. The most important items of food offered to the various spirits which govern all aspects of human life are rice, raw and cooked, vegetables, dried fish and pork. Rice especially symbolizes the wealth of the family. It is constantly offered on the temporary altar arranged in the main living room of the house. The shaman who is invited to this ceremony (kut) sets the table for all the spirits including the ancestral spirits. After the table is set, she starts singing, inviting the spirits to the feast offered by the wife of the household. Next, she tries to talk personally with each ancestral spirit related to the wife of the household. In this case, ancestors who died outside their home or women who died without a surviving son, receive the most attention because unhappy ancestors might be the cause of the bad luck of the household. One ceremony that was performed in 1977 was carried out in order to help the wife of the household who constantly suffered from economic and family problems. She was once the mistress of the present husband, and later became a legal wife to him after his former wife committed suicide. The recent troubles that she suffered brought back all her old guilt feelings. She had been worried about the stained relationship with her husband and step sons. The shaman in charge of that ceremony invoked her family problems in public in the presence of her husband and her step sons. The troubled wife acknowledged her fault in public, asked the dead former wife of her husband to forgive her fault and promised to offer the ancestor worship ceremony to the spirit of the dead former wife of her husband sincerely. the wife of the household carried on that shamanic performance and invited as many guests as possible because it is generally thought that the more people participate in the ceremony the more benefit the sponsoring person can derive from it. The shaman also liked to have many guests. During the ceremony, food was freely offered to all the participants. Therefore, it turned out to be a feast in that settlement. Most of the participants were expected to respond vocally to the sharman's invitation in order to increase the dramatic effect of the ceremony. All in all, it was a very emotional exposing of the family's problems in public. After the ceremony, the conflicts in the family were fully understood by most participants. The troubled relationship of the woman to her family [p. 192] was supposed to be repaired through the help of ancestral spirits. This kind of special shamanic performance is also conducted when a person has died outside the house.",unknown
136,calsbeek,Case,Korea,"This process of the disappearing of a village is called s[unknown]okp'a. As an example of such internal changes, Pak, 61 years old and an immigrant from the southwestern part of mainland Korea, lived in this village for ten years. When he committed suicide by inhaling chemical insecticide in the late spring of 1976, his wife, along with a younger daughter, moved to another island to live with her son-in-law and yet another daughter. At this time, the son-in-law arrived in the village to help in the mourning ceremony for Pak's death and to demolish the house so as to retrieve wooden beams from it. Every night, the three remaining families saw themselves visited by the spirit of the dead and showed great anxiety.",unknown
137,calsbeek,Case,Korea,"Twenty years ago when vague rumors of an imminent civil war were spreading throughout the land, Christian widows asked the missionary for permission to commit suicide if armed bands approached their house, and the priest had great difficulty in making them understand that even in such a case suicide is a crime abominable to God.",unknown
138,calsbeek,Cultural model,Korea,"Sometimes young widows have been known to commit suicide immediately after their husband's funeral so as the better to prove their fidelity and to put their [CXXVIII] reputation and honor beyond all reproach. The nobility cannot be too outspoken in the praise of these model wives, and they almost always succeed in getting the king to dedicate a public monument, column or temple to them which will preserve the memory of their heroism.",death_loved_one
140,calsbeek,Case,Korea,"Shamanistic Rites At shamanistic rites called kut, ancestors are propitiated along with an assortment of local and household deities. Typically, a village household hires a few professional shamans to come and perform akut when an ancestor or deity is thought to have caused a serious illness or other misfortune. Offerings made to placate supernatural beings at kut consist primarily of food and money; sometimes a set of clothing is offered for a dead relative to use. Part of the food is consumed by participants during the rite; but most of the food, the money, and the occasional sets of clothing are kept by the shamans as part of their compensation. Kut are performed far less often than ancestor rituals, but each kut consumes far more time and money than a domestic or lineage rite. A given household rarely offers more than one in several years. A kut begins about mid-afternoon and runs until mid-morning of the following day. In 1978, the average cost of a kut was a few hundred U.S. dollars, about twenty times the expense of a typical death-day offering. Kut are dramatic and entertaining: shamans take turns beating drums and gongs, singing mythical narratives, performing comic skits, and impersonating supernatural beings. Speaking through [p. 149] the mouth of a shaman, deities act like corrupt and rapacious officials. They denigrate the quality of food presented to them, feign insult at the size of their offerings, and demand more and more money as they sing and dance about. Villagers refuse to be intimidated; they cajole, negotiate, and match wits with the deities, pleading for good fortune and trying to hold on to their cash. Some of the participants too play musical instruments or dance. Everyone has a good time. A portion of every kut is performed by one of the shamans especially for ancestors. This highly dramatic seance is far more serious than the exchanges with deities. Ancestors lament their discomforts in the afterlife, complain about their grave locations, or grieve over the mistreatment and neglect they suffered as elders at the hands of their living kin. Playing on the sympathies of their listeners, ancestors plead for a little more money, another cup of wine, or a different gravesite. The seance is usually performed in the early hours of the morning and is clearly one of the most important parts of every kut: informants say as much themselves, and many participants leave and return to their homes when the seance is finished. Most of the participants at a kut are women over 40; few younger women are present. Men of the sponsoring household, together with their closest kinsmen and neighbors, usually attend the early evening segments of a kut but then retire to the ""across room"" or leave the house altogether. No male villager participates in ancestor seances. At one seance, the head of the sponsoring household was physically present, but he lay on the floor, covered with a blanket, and appeared to sleep throughout the event. The women who attend a kut are drawn primarily from the sponsoring household's closest neighbors and kin; most live in the same hamlet or belong to the same ritual-performing segment. Usually, a few other women attend, especially some elderly lineage wives who take a special interest in these rites. Though no one's presence is formally required, one woman was criticized for absenting herself from an ancestor seance held at a household of her own hamlet and ritual-performing segment. The woman, an eldest son's wife, was apparently reluctant to face her dead mother-in-law. The old woman, who had committed suicide seven months earlier, made a dramatic appearance at the seance.",unknown
141,calsbeek,Case,Korea,"""When I returned to my home during the last week in August, I found a shocking contrast to the mystic world I had just left.... It may seem strange to the reader unfamiliar with Far-Eastern politics that Korea, an independent nation for over forty-two centuries, should have been so helpless those first ten years of the twentieth century before the stealthy but persistent encroaching of New Japan. But Japan's strength in the East is due to rapid Westernization, especially in regard to armament. That alone, perhaps, she thoroughly learned, since the time of Perry's entrance, and is thoroughly competent to proselyte. With the vigor of a younger nation, engaged already in enormous changing, inherently imitative, it is easy for her to slough one borrowed culture and to ab-[167] sorb another in its place. Yes, comparatively easy, as it was not for the older nations, China and Korea. Clinging closely to the old Confucian culture, and each in an exhausted era of their history, they were truly stunned for those first decades of world-wide intercourse. That little Japan won over the million millions of wise deep China, first. After her victory, she began to make her demands upon Korea, during the Russo-Japanese war. She must be allowed passage for her troops through Korea, and she signed a treaty stating that she had no designs upon the Korean state as a whole. These troops were never withdrawn. They remained to shelter the swarms of low-class Japanese adventurers who followed, and to uphold them in all they mis-did. Japan moved deliberately step by step. She first seized the silent control of the incompetent and bewildered government at Seoul, in 1907: hemmed in by spies and Japanese generals, the old emperor was made to abdicate to a minor son; then at last Japan spoke plainly, the 29th of August, 1910, when all treaties were annulled and Korea was publicly declared annexed...."" [p 167-168] ""When the news reached the grass roof in Song-Dune-Chi, my father turned a dark red, and could not even open his mouth. My unclepak-sa became suddenly very old, and he shrivelled and fainted in his own room. My crazy-poet uncle sat staring straight ahead of him until far into the night. My first thought was a selfish and immature one. 'Now I cannot be apak-sa or the prime minister of Korea.' I burst into tears. But my elders did not cry, not yet. So I ran crying out of the house. I looked up at the sky, to see if there were really a black doom up there. Were a final thunderstorm and a flood about to come which would wipe us all out? But the sky was blue and serene, and the river had only [168] a sunny crystal foam as it whirled past. Children were standing around with scared blank faces. The village was quiet. Nobody spoke. Later on, in the afternoon, there was a general weeping, everywhere the sound of mourning, as if each house in the village were wailing for somebody dead. Some men began to drink and drink, shouting: 'The doomsday has come! We have all gone to the Hell!' My father lurched out of the house, although he had had nothing to drink, and nothing to eat since morning. 'My poor poor children!' he cried out, and tears now streamed from his eyes. He held out his hands to us, as if we were all his eldest sons. 'Now all are going to die in the ruined starvation. The time of the unending famine has come down upon us. Who knows when we may be happy again?' And with tears running over his face, and mingling with his beard, he put up the Korean flag over our gateway and bowed down to it."" [p. 168] ""There was no supper that night. My grandmother sat up by candle-light, in the same dress she had worn in the morning. Again and again she took a cup of rice tea to my father, but he lay heavily on the mats, and he would not accept it. In the morning, it was found that several of the young men who had been among those drunk the night before had committed suicide. Their bodies lay along the banks of the stream where the women usually did washing on this day.","military_defeat,fear of loss,emotional distress"
142,calsbeek,Case,Korea,"""I had come only half-way and I was very tired of walking so much and eating so little, but I had one letter of introduction. This was the address of a radical rich friend of the crazy-poet, who used to visit him and had told me once if I ever came to Seoul, to be sure to stop and see him at the address he gave me. I spent many hungry hours thinking of the rich feast I would get at his house, and when I was tired, I comforted myself by thinking that I might stay with him two or three days to break the journey. He probably would insist on my taking some money too, I thought, which he would let me pay back later. Park Soo-San's idea was that private citizens should help poor students in search of Western education. He lived beyond Won-san, according to the address given. To reach his village, I had to go about twelve miles out of my way, along an uninviting stony path, little travelled. Since this was not in direct line to Seoul, I was constantly losing direction and making false starts; I did not reach his village until nightfall, though I had been trying to locate it from early dawn, but I persevered. The farther I came from home, the harder it was to find good schools. Lately I had [201] saved my appetite and my pennies with Mr. Kim in mind. The March evening was gray, bleak, when I entered the village of my crazy-poet uncle's friend and began inquiring for Mr. Kim, but my breast was light with anticipation, and I remember thinking, 'Turkey or duck, turkey or duck.' My Western hat and my haircut were not greeted with enthusiasm. At last when I had almost had a fight with the villagers to find out where Mr. Kim really lived, on being directed to his house, which was under sighing pine trees, I could only rouse an old woman who was deaf, and I saw no signs of the prosperity I had expected. I finally made out from what she told me, that Mr. Kim was no more, having committed suicide the night that Korea had been annexed by Japan. She alone was brave enough to live in that house because of his wailing ghost.""",military_defeat
