id	field_years	location	title	year	authors	publisher
154	1967-1976	"north-central Canada, 1613-1977"	"Chipewyan and Inuit in the central Canadian subarctic, 1613-1977"	1979	"Smith, James G. E."	"Arctic anthropology--Vol. 16, no. 2, [Madison]: University of Wisconsin Press. 76-101"
155	1960-1961	"village of Snowdrift, south shore of Great Slave Lake, Northwest Territories, Canada, eighteenth century - 1960s"	The changing culture of the Snowdrift Chipewyan	1965	"VanStone, James W."	"Ottawa, Ont.: National Museum of Canada"
156			Inuit youth: growth and change in the Canadian Arctic	1987	"Condon, Richard G."	"New Brunswick, N.J.: Rutger University Press"
157	1937-1949	"Northwest Territories, Canada, 1937-1949"	The incredible Eskimo: life among the barren land Eskimo	1986	"De Coccola, Raymond"	"Surrey, B.C. ; Blaine, Wash.: Hancock House"
158	1958-1970	"Northwest Territories, Canada, 1958-1970"	"Nunaga: my land, my country"	1972	"Pryde, Duncan"	"Edmonton, Alta.: M.G. Hurtig Ltd."
159	1921-1924	"Northwest Territories, Canada,"	Intellectual culture of the Copper Eskimos	1932	"Rasmussen, Knud"	"Copenhagen, Denmark: [s.n.]"
160	ca. 1800	"Eastern United States, eighteenth century - ca. 1818"	"An account of the history, manners, and customs, of the Indian nations who once inhabited Pennsylvania and the neighboring states"	1819	"Heckewelder, John Gottlieb Ernestus"	"Transactions of the Historical and Literary Committee of the American Philosophical Society -- Vol. 1, Philadelphia: Abraham Small"
161		"Oklahoma, United States, ca. 1860s-1980s"	Delaware personhood	1991	"Miller, Jay"	"Man in the Northeast -- Vol. 42, [Rindge, N.H.?]: Anthropological Research Center of Northern New England. 17-27 p."
162	1951-1952	"Eastern Pennsylvania, southeastern New York, northern New Jersey, United States, fifteenth-nineteenth centuries"	The culture and acculturation of the Delaware Indians	1956	"Newcomb, William Wilmon"	Ann Arbor: University of Michigan
163		"Eastern United States, seventeenth-eighteenth centuries"	Some psychological characteristics of the Dealware Indians during the 17th and 18th centuries	1950	"Wallace, Anthony F. C."	"Pennsylvania archaeologist -- Vol. 20, nos. 1-2, [Harrisburg, Pa.]: Society for Pennsylvania Archaeology. 33-39 p."
164	1767-1780	"Pennsylvania, New Jersey, Ohio, United States, seventeenth-eighteenth centuries"	David Zeisberger's history of northern American Indians	1910	"Zeisberger, David"	"Columbus, Ohio: Published for the Society by Fred J. Heer."
165	1975-1978	"United States, 1980s"	American odyssey: Haitians in New York City	1984	"Laguerre, Michel S."	"Ithaca, New York: Cornell University Press"
166		"Oraibi Pueblo, Third Mesa, northeastern Arizona, United States, ca. 1899-1940"	The psychosocial analysis of a Hopi life-history	1951	"Aberle, David Friend"	Berkeley and Los Angeles: University of California Press
167	"1932, 1934"	"Mishongnovi and Shipaulovi pueblos, Second Mesa, northeastern Arizona, United States"	Hopi of the second mesa	1935	"Beaglehole, Ernest"	"Menasha, Wisconsin: American Anthropological Association"
168	"1959-1964, 1966-1970"	"Hopi pueblos, First, Second, and Tthird Mesas, northeastern Arizona, United States, 1959 - 1970"	"Orayvi revisited: social stratification in an ""egalitarian"" society"	1992	"Levy, Jerrold E."	Santa Fe ; [Seattle]: School of American Research Press ; Distributed by the University of Washington Press
169	1890-1940	"Oraibi Pueblo, northeastern Arizona, United States, 1890-1940"	Sun chief: the autobiography of a Hopi Indian	1942	"Talayesva, Don C."	"New Haven ; London: Pub. for the Institute of Human Relations by Yale University Press ; H. Milford, Oxford University Press"
170	1932-1966	"Old Oraibi Pueblo, northwestern Arizona, United States, early 1930s"	The Hopi Indians of Old Oraibi: change and continuity	1972	"Titiev, Mischa"	Ann Arbor: University of Michigan Press
171			Old Oraibi: a study of the Hopi Indians of the Third Mesa	1971	"Titiev, Mischa"	New York: Kraus Reprint Co.
172			Iroquois women	1900	"Beauchamp, William M."	"Journal of American folklore -- Vol. 13, no. 49. 81-91 p."
173			Contacts between Iroquois herbalism and colonial medicine	1942	"Fenton, William N."	"Annual report of the Board of Regents of the Smithsonian Institution showing the operation, expenditures, and condition of the Institution for the year ended June 30, 1941, Washington, D.C.: Smithsonian Institution. 503-526 p."
174		aboriginal period -- pre and early contact	An ethnohistoric and ethnographic analysis of the Iroquois from the aboriginal era to the present suburban era	1975	"Foley, Denis"	"Ann Arbor, Mich.: University Microfilms International"
175		early post-contract period -- 1530s-1700	The dream-vision experience of the Iroquois: its religious meaning	1981	"St. John, Donald Patrick"	"Ann Arbor, Mich.: University Microfilms International"
176	1951-1956	"Seneca; Allegany Reservation, New York State, U.S.A., 1600's and 1700's"	The death and rebirth of the Seneca	1969	"Wallace, Anthony F. C."	"New York: Vintage Books, a division of Random House, 1972."
177		"Philadelphia, United States, 1750-1870"	Building Little Italy: Philadelphia's Italians before mass migration	1998	"Juliani, Richard N."	University Park: Pennsylvania State University Press
178	1982-1986	"Monte Carmelo, New York City, United States, 1890-1986"	Monte Carmelo: an Italian-American community in the Bronx	1988	"LaRuffa, Anthony L."	New York: Gordon and Breach.
179		"Toronto, Ontario, Canada, 1946-1965"	Such hardworking people: Italian immigrants in postwar Toronto	1993	"Icovetta, Franca"	Montreal ; Buffalo: McGill-Queen's University Press
180	1925-1926	"Klamath County, Oregon, U.S.A., ca. 1860-1900"	Klamath ethnography	1930	"Spier, Leslie"	"Berkeley, Calif.: University of California Press"
181	1898-1905	"southwestern United States, 1898-1905"	Physiological and medical observations among the Indians of southwestern United States and northern Mexico	1908	"Hrdlicka, Ales"	Washington: Govt. print. off.
182			Physical and physiological observations on the Navaho	1900	"Hrdlicka, Ales"	"American anthropologist, n.s. -- Vol. 2, Washington, etc.: American Anthropological Association, etc."
183	ca 1961	"Navajo reservation, Unites States, ca 1961"	The social meaning of Navaho psychopathology and psychotherapy	1964	"Kaplan, Bert"	"Magic, faith and healing ; studies in primitive psychiatry today, edited by Ari Kiev, [New York]: Free Press of Glencoe. 203-229 p."
184			The Ramah Navajo	1966	"Kluckhohn, Clyde"	"ashington: U.S. G.P.O. : For sale by the Supt. of Docs. 1, 327-377 p."
185	1951-1952	southwestern United States	A systematic reconstruction of Navaho ethics	1957	"Ladd, John"	"The structure of a moral code; a philosophical analysis of ethical discourse applied to the ethics of the Navaho Indians, Published By: Cambridge: Harvard University Press. xv, 474 p."
186	1940-1943	"New Mexico and Utah, United States, 1942-1943"	Children of the people: the Navaho individual and his development	1947	"Leighton, Dorothea (Cross)"	Cambridge: Harvard Univ. Press.
187	1960-1973	"Western Navajo Reservation, Arizona, United States, 1950-1978"	Changing burial practices of the Western Navajo: a consideration of the relationship between attitudes and behavior	1978	"Levy, Jerrold E."	"American Indian quarterly -- Vol. 4, no. 4, [Hurat, Tex.]: Southwestern American Indian Society. 397-405 p."
188	1957-1975	"Arizona and New Mexico, United States, 1881-1967"	Navajo Blessingway singer: the autobiography of Frank Mitchell	1978	"Mitchell, Frank"	"Tucson : University of Arizona Press, c1978: University of Arizona Press"
189	1929-1933	"Talking Rock, Arizona, United States, 1929-1933"	Human-wolves among the Navaho	1970	"Morgan, William"	New Haven: Human Relations Area Files Press
190	1915-1940	"Arizona and New Mexico, United States, 1915-1940"	Navajo omens and taboos	1940	"Newcomb, Franc Johnson"	Santa Fe: Rydal Press
191	"1948, 1950"	"Rimrock, New Mexico, United States, 1882-1950"	Changing Navaho religious values: a study of Christian missions to the Rimrock Navahos	1954	"Rapoport, Robert N."	Cambridge: The Museum
192		"Navajo reservation, southwestern United States, 1870s-1970s"	Changes in Navajo mortuary practices and beliefs	1978	"Shepardson, Mary"	"American Indian quarterly -- Vol. 4, no. 4, [Hurat, Tex.]: Southwestern American Indian Society. 383-395 p."
193	1960-1966	"Navajo Reservation, Navajo Mountain, Utah; Arizona, United States, 1868-1966"	The Navajo Mountain community: social organization and kinship terminology	1970	"Shepardson, Mary"	Berkeley: University of California Press
194	1933-1941	"Arizona, New Mexico, United States"	Navajo eschatology	1942	"Wyman, Leland Clifton"	"Albuquerque, N.M.: University of New Mexico Press"
195	1980-1985	"Seattle, Washington, United States, 1980-1988"	Changing lives of refugee Hmong women	1994	"Donnelly, Nancy D."	Seattle: University of Washington Press.
196	1981-1986	"Merced, California, United States, 1981-1986"	The integration of Hmong adults into American society through the community college: a participatory study of the possibilities of cultural preservation	1987	"Janssens, Luc Ghislain"	"Ann Arbor, Mich.: University Microfilms International"
197			The locked medicine cabinet: Hmong health care in America	1986	"Kirton, Elizabeth"	"Ann Arbor, Michigan: University Microfilms International"
198	1988-1992	"Wausau, Wisconsin, United States, 1976-1992"	New pioneers in the heartland: Hmong life in Wisconsin	1998	"Koltyk, Jo Ann"	Boston: Allyn and Bacon
199	1984-1989		From the heart and the mind: creating Paj Ntaub in the context of community	1990	"Peterson, Sally Nina"	"Ann Arbor, Mich.: University Microfilms International."
200	1932-1940	"Central Ojibwa: reservations in Minnesota, Wisconsin, and Michigan, United States, 1932-1933, 1939-1940"	Chippewa child life and its cultural background	1951	"Hilger, Mary Inez"	Washington: U.S. Govt. Print. Off.
201	1932-1935	"Central Ojibwa: Manitou Reserve, Emo, Ontario, Canada, 1932, 1933, 1935"	Ojibwa sociology	1937	"Landes, Ruth"	New York: Columbia University Press.
202	1990	"Twentieth Century Ojibwa, northern Ontario, Canada, 1986-1990"	"Looking in, looking out: coping with adolescent suicide in the Cree and Ojibway communities of northern Ontario"	1991	"Minore, B."	"The Canadian journal of native studies -- Vol. 11, no.1, Brandon, Man.: The Canadian Journal of Native Studies. 1-24 p."
203		"Central Ojibwa: prarie provinces, western Canada, ""traditional"" to ca. 1850"	"The Ojibwa of Western Canada, 1780 to 1870"	1994	"Peers, Laura L."	St. Paul: Minnesota Historical Society Press.
204	July 1958-July 1959	"Northern Ojibwa: Round Lake area, northwestern Ontario, Canada, 1958-1959"	The Round Lake Ojibwa	1962	"Rogers, Edward S."	[Toronto]: Published by the Ontario Dept. of Lands and Forests for the Royal Ontario Museum.
205	1968-1991	"Twentieth Century Ojibwa, Kenora region, Ontario, Canada, 1968-1991"	Dancing with a ghost: exploring Indian reality	1992	"Ross, Rupert"	"Markham, Ont.: Octopus Books : Distributed by Butterworths"
206	1976-1979	"Grassy Narrows, Ontario, Canada, 1963-1980"	A poison stronger than love: the destruction of an Ojibwa community	1985	"Shkilnyk, Anastasia M."	New Haven: Yale University Press.
207		"Lake Winnipeg, Manitoba, Canada, 1750-1975"	Saulteaux of Lake Winnipeg	1981	"Steinbring, Jack"	"Handbook of North American Indians, Vol. 6 Subarctic, edited by June Helm, Washington: Smithsonian Institution : For sale by the Supt. of Docs., U.S. G. P. O. 244-255 p."
208		"Central Ojibwa: Great Lakes Region, United States and Canada, 1780s to ca. 1850"	"A narrative of the captivity and adventures of John Tanner, (U.S. interpreter at the Saut de Ste. Marie,): during thirty years residence among the Indians in the interior of North America"	1830	"Tanner, John"	New York: G. & C. & H. Carvill.
209	1930-1931	"northern Kansas and Nebraska, U.S.A, early ninteenth -- early twentieth centuries"	The Pawnee Ghost Dance hand game	1933	"Lesser, Alexander"	New York: Columbia University Press.
210	ca. 1890-1920	"Skiri band; Platte, Loup, and Republican River areas, Nebraska and northern Kansas, U.S.A., mid-nineteenth - early twentieth centuries"	Ceremonies of the Pawnee	1989	"Murie, James R."	"Lincoln: University of Nebraska Press for the American Indian Studies Research Institute, Indiana University."
211	"1928-1936, 1954"	"Skidi (Skiri), Chawi, Kitkahahki, and Pitahawirata bands; Pawnee, Oklahoma, U.S.A, late 1800s - early 1900s"	The lost universe: with a closing chapter on 'The universe regained'	1965	"Weltfish, Gene"	New York ; London: Basic Books.
212			The socio-psychological significance of death among the Pomo Indians	1940	"Aginsky, B. W."	"The American imago -- Vol. 1,  [Baltimore, Md., etc.]: Johns Hopkins University Press [etc.]. 1-11 p."
213	1919	"Cigom village, Clear Lake, California, United States, ca. 1850 - early twentieth century"	Clear Lake Pomo society	1926	"Gifford, Edward Winslow"	"Berkeley, Calif.: University of California Press. 287-390 p."
214	March 1985-September 1990	"New York, N.Y., United States, 1940s-1990s"	In search of respect: selling crack in El Barrio	1995	"Bourgois, Philippe I."	Cambridge ; New York: Cambridge University Press
215		"New York, N.Y., United States, 1860s - 1945"	A history of Puerto Rican politics in New York City: 1860s to 1945	1984	"Falcon, Angelo"	"Puerto Rican politics in urban America, edited by James Jennings and Monte Rivera, Westport, Conn.: Greenwood Press. 15-42 p."
216			"The cultural dynamic of Puerto Rican spiritism: class, nationality, and religion in a Brooklyn ghetto"	1981	"Figueroa, JosÌ© E."	"Ann Arbor, Mich.: University Microfilms International"
217	1954-Jul. 1957	"community of ""Eastville"", New York, N.Y., United States, 1954-1957"	Up from Puerto Rico	1958	"Padilla, Elena"	New York: Columbia University Press.
218	1979-1993	"East Harlem, New York, N.Y., United States, 1979-1993"	Growing up bilingual: Puerto Rican children in New York	1998	"Zentella, Ana Celia"	"Cambridge, Mass.: Blackwell."
219		"Florida, United States"	Two types of cultural response to external pressures among the Florida Seminoles	1965	"Freeman, E. C."	"Anthropological quarterly -- Vol. 38, no. 2, Washington, D.C.: Catholic University of America Press, etc.. 55-61 p."
220	1950-1953	"South Florida, 1880-1953"	The Mikasuki Seminole: medical beliefs and practices	1955	"Sturtevant, William C."	"Ann Arbor, Mich.: University Microfilms International [1989 copy]. v, 539 p."
221	June 1977-Sept. 1978	"Milwaukee, Wisconsin, U.S.A., 1900-1978"	"Settlers and sojourners: a study of Serbian adaptation in Milwaukee, Wisconsin"	1989	"Padgett, Deborah"	New York: AMS Press.
222	mostly summers of 1949; 1952; 1953; 1954	"Yakutat Bay, southeastern Alaska, U.S.A., 1741-1972"	Under Mount Saint Elias: the history and culture of the Yakutat Tlingit	1972	"De Laguna, Frederica"	"Washington, D.C.: Smithsonian Institution Press; [for sale by the Supt. of Docs., U.S. Govt. Print. Off.]. 3 v."
223	1882-1907	"Southeastern Alaska, U.S.A., 1700s - 1910"	The Tlingit Indians	1991	"Emmons, George Thornton"	Seattle ; New York: University of Washington Press ; American Museum of Natural History.
224	1893-1914	"Southeastern Alaska, U.S.A., 1893-1914"	A study of the Thlingets of Alaska	1914	"Jones, Livingston French"	New York: Fleming H. Revell Co.
225	"1979-80, 1982, 1984"	"Southeastern Alaska, U.S.A., 1780-1800"	Symbolic immortality: the Tlingit potlatch of the nineteenth century	1989	"Kan, Sergei"	Washington: Smithsonian Institution Press.
226		"Southeastern Alaska, U.S.A."	The Thlinkets of southeastern Alaska	1896	"Knapp, Frances"	Chicago: Stone and Kimball.
227	1881-1882	"Southeastern Alaska, U.S.A., nineteenth century"	The Tlingit Indians: results of a trip to the northwest coast of America and the Bering Straits	1956	"Krause, Aurel"	"Seattle, Wash.: Published for the American Ethnological Society by the University of Washington Press."
228	1948-1952	"Northern Tlingit; southeastern Alaska, U.S.A."	The interrelations of social structure with northern Tlingit ceremonialism	1954	"McClellan, Catherine"	"Southwestern journal of anthropology -- Vol. 10, no. 1, Albuquerque, New Mexico: University of New Mexico and the Laboratory of Anthropology. 75-96 p."
229	1933-1954	"Southeastern Alaska (the Panhandle), U.S.A., ca. 1880-1900"	Social structure and social life of the Tlingit in Alaska	1967	"Olson, Ronald L"	Berkeley: University of California Press.
230	1960s	"Communities of Whiteriver, East Fork, and Seven Mile, White Mountain Apache, east central Arizona, United States, 1960s"	White Mountain Apache health and illness: an ethnographic study of medical decision making	1971	"Everett, Michael Wayne"	"Ann Arbor, Mich.: University Microfilms [1980 copy]."
231	1929-1936	"White Mountain Apache, San Carlos Indian Reservation, east central Arizona, United States"	Myths and tales of the White Mountain Apache	1939	"Goodwin, Grenville"	"New York: The American Folk-lore Society, J.J. Augustin, Agent."
232	1929-1969	"White Mountain Apache, east central Arizona, United States, 1850s-1880s"	Western Apache raiding and warfare: from the notes of Grenville Goodwin	1971	"Goodwin, Grenville"	Tucson: University of Arizona Press.
233	1929-1940	"East central Arizona, United States, mid-nineteenth century - 1940"	The social organization of the Western Apache	1942	"Goodwin, Grenville"	"Chicago, Ill.: The University of Chicago Press."
234	1972	"White Mountain Apache, East Central Arizona, United States, 1880-1930s"	White Mountain Apache religious cult movements: a study in ethnohistory	1976	"Kessel, William Burkhardt"	"Ann Arbor, Mich.: University Microfilms International"
235		"White Mountain Apache, East Central Arizona, United States"	Notes on some White Mountian Apache social pathologies	1969	"Levy, Jerrold E."	"Plateau -- Vol. 42, Flagstaff, [Ariz.]: Northern Arizona Society of Science and Art : Museum of Northern Arizona. 11-19 p."
236	1963 (June-Sept.); 1970 (Sept-Dec.)	"San Carlos Apache, San Carlos Indian Reservation, Arizona, United States, 1963, 1970"	The Apache continuum: an analysis of continuity through change in San Carlos Apache culture and society	1971	"Perry, Richard John"	"Ann Arbor, Mich.: University Microfilms International"
237		"San Carlos Apache, San Carlos Indian Reservation, Arizona, United States, 1930s - 1980s"	Apache reservation: indigenous peoples and the American state	1993	"Perry, Richard John"	"Austin, TX: University of Texas Press."
238	1966-1971	"East central Arizona, United States, Pre-Reservation Period (ca. sixteenth-late nineteenth centuries)"	Recreation activities instrumental to expressed life goals of San Carlos teen-age Apaches	1972	"Pittman, Anne Myrtle"	"Ann Arbor, Mich.: University Microfilms International"
239	1912-1920	"Chuuk State, Federated States of Micronesia, 1912-1920"	"The inhabitants of the Truk Islands: religion, life and a short grammar of a Micronesian people"	1927	"Bollig, Laurentius"	Munster i W.: Aschendorff.
240	1968	"Chuuk State, Federated States of Micronesia, 1947-1968"	Fa'a'nakkar cultural values in a Micronesian society	1977	"Caughey, John L."	"Philadelphia, Pa.: Department of Anthropology, University of Pennsylvania."
241		"Romonum Island, Chuuk State, Federated States of Micronesia, 1946-1949"	The role of Trukese mother and its effect on child training	1950	"Fischer, Ann M."	"Washington, D.C.: Pacific Science Board."
242	1947-1951	"Chuuk State, Federated States of Micronesia, 1947-1951"	Truk: man in paradise	1953	"Gladwin, Thomas"	New York: Wenner-Gren Foundation for Anthropological Research.
243			Truk suicide epidemic and social change	1987	"Hezel, Francis X."	"Human organization -- Vol. 46, no. 4, Washington, DC: The Society for Applied Anthropology. 283-291 p."
244			Cultural patterns in Trukese suicide	1984	"Hezel, Francis X."	"Ethnology -- Vol. 23, no. 3, Pittsburgh: University of Pittsburgh. 193-206 p."
245	1907-1910	"Chuuk State, Federated States of Micronesia, 1528-1910"	Truk	1932	"KrÌ_mer, Augustin"	"Ergebnisse der SÌ_dsee-Expedition 1908-1910, II. Ethnographie: B. Mikronesien, Vol. 5, Hamburg: Friederichsen, de Gruyter & Co. G. m b.H."
246	1950-1968	"Chuuk State, Federated States of Micronesia,1950-1968"	A Trukese theory of medicine	1971	"Mahony, Frank J."	"Ann Arbor, Michigan: University Microfilms, 1070."
247	1969-1985	"Chuuk State, Federated States of Micronesia, 1870-1985"	Silent voices speak: women and prohibition in Truk	1990	"Marshall, Mac"	"Belmont, Calif.: Wadsworth Pub. Co."
248	"1969-1971, 1976"	"Peniyesene village, Moen Island, Chuuk State, Federated States of Micronesia, 1969-1977"	Weekend warriors: alcohol in a Micronesian culture	1979	"Marshall, Mac"	"Palo Alto, Calif.: Mayfield Pub. Co."
249	1970-1981	"Hawai'i, United States, 1830-1860"	Historical ethnography: [volume 1]	1992	"Sahlins, Marshall David"	"Anahulu : the anthropology of history in the Kingdom of Hawaii, by Patrick V. Kirch and Marshall Sahlins, Chicago: University of Chicago Press."
250	ca. mid-1920s	"Southwest Malekula island, Vanuatu, 1925-1927"	Malekula: a vanishing people in the New Hebrides	1934	"Deacon, Bernard"	"London: George Routledge and Sons, Ltd."
251	1973-1974	"Mewun, southwestern Malekula, Vanuatu, late nineteenth century-1974"	"Place and the politics of marriage: the Mewun of Malekula, New Hebrides/Vanuaaku"	1980	"Larcom, Joan Clayton"	"Ann Arbor, Mich.: University Microfilms International"
252	1966-1967	"Villages of Inonda and Sivepe, Mount Lamington area, Popondetta sub-district, Papua New Guinea, 1951-1967"	Cultural consequences of a volcanic eruption experienced by the Mount Lamington Orokaiva	1969	"Schwimmer, Eric G."	"Eugene: Dept. of Anthropology, University of Oregon."
253	1923-1924	"Northern District, Papua New Guinea, 1923-1925"	Orokaiva society	1930	"Williams, Francis Edgar"	London: Oxford University Press.
254	1923-1925	"Northern District, Papua New Guinea, 1923-1925"	Orokaiva magic	1928	"Williams, Francis Edgar"	"London: Oxford University Press, H. Milford."
255	1912	"Graciosa Bay area, Nitendi (Ndeni), Santa Cruz Islands, Solomon Islands, early twentieth century"	Ethnological data on the Santa Cruz Islands	1916	"Speiser, F."	"Ethnologica -- Vol. 2, Leipzig: Ernst Wiegundt. HRAF ms: 1-131 p. [Original: 153-214 p.]"
256	"1928-1929, 1952, 1966"		Rank and religion in Tikopia: a study in paganism and conversion to Christianity	1970	"Firth, Raymond William"	"Boston, Mass.: Beacon Press."
257	"1928-29, 1952-1966"	"1928-29, 1952-1966"	Tikopia ritual and belief	1967	"Firth, Raymond William"	London: George Allen and Unwin Ltd.
258	"1928-29, 1952"	"1928-29, 1952"	History and traditions of Tikopia	1961	"Firth, Raymond William"	"Wellington, New Zealand: The Polynesian Society."
259	1952-1953	"1928, 1952"	Social change in Tikopia	1959	"Firth, Raymond William"	"New York, N.Y.: The Macmillan Company."
260	"1928, 1952"		Rumor in a primitive society	1956	"Firth, Raymond William"	The Journal of abnormal and social psychology -- Vol. 53. 122-132 p.
261	1928-1929		Privilege ceremonials in Tikopia	1951	"Firth, Raymond William"	Oceania -- Vol. 21. 161-177 p.
262	1928-1929		Authority and public opinion in Tikopia	1949	"Firth, Raymond William"	"Social structure : studies presented to A. R. Radcliffe-Brown, edited by Meyer Fortes, Oxford, England: Clarendon Press. 168-188 p."
263	1928-1929		The work of the gods in Tikopia	1940	"Firth, Raymond William"	"London, England: The London School of Economics and Political Science."
264	1928-1929		Primitive Polynesian economy	1939	"Firth, Raymond William"	"London, England: George Routledge & Sons, Ltd."
265	1928-1929		"We, the Tikopia: a sociological study of kinship in primitive Polynesia"	1936	"Firth, Raymond William"	"London, England: George Allen and Unwin, Ltd."
266	1928-1929		A dart match in Tikopia	1930	"Firth, Raymond William"	"Oceania -- Vol. 1, no. 1. 64-96 p."
267	1928-1929		Marriage and the classificatory system of relationships	1930	"Firth, Raymond William"	Journal of the Royal Anthropological Institute of Great Britian and Ireland -- Vol. 60. 235-268 p.
268			Chapter 12	1914	"Rivers, W. H. R."	"The history of Melanesian society, Vol. 1, by W. H. R. Rivers, Cambridge, England: Cambridge University Press. 298-362 p."
269	1952-1953	1952	Natural disaster and political crisis in a Polynesian society: an exploration of operational research	1957	"Spillius, James"	Human relations -- Vol. 10. 1-27 p.
270	1931-1936	1931-1936	Cultural changes in Kiriwina	0	"Austen, Leo"	"Oceania -- Vol. 16, 1945. 15-60 p."
271			The sexual life of savages in northwestern Melanesia: Vol. 1 and 2	1929	"Malinowski, Bronislaw"	New York: Horace Liveright.
272	1914-1920		Crime and custom in savage society	1926	"Malinowski, Bronislaw"	"London: Kegan Paul, Trench, Trubner and Company."
273	1914-1920	1914-1920	Argonauts of the western Pacific: an account of native enterprise and adventure in the archipelagoes of Melanesian New Guinea	1922	"Malinowski, Bronislaw"	"London: George Routledge & Sons, Ltd."
274	1915-1916	1915-1916	Baloma: the spirits of the dead in the Trobriand Islands	1916	"Malinowski, Bronislaw"	The Journal of the Royal Anthropological Institute of Great Britian and Ireland -- Vol.46. 353-430 p.
275	ca. 1920		A primitive Arcadia	1926	"Silas, Ellis"	London: T. Fisher Unwin Ltd.
276			Politics of the kula ring: an analysis of the findings of Bronislaw Malinowski	0	"Uberoi, J. P. Singh"	
277	1957-1959		The human soul in the Aymara culture of Pumasara: an ethnographic study in the light of George Herbert Mead and Martin Buber	1969	"Cole, John Tafel"	"Ann Arbor, Mich.: University Microfilms"
278	1962		"The Aymara of Chinchera, Peru: persistence and change in a bicultural context"	1964	"Hickman, John Marshall"	"Ann Arbor, Mich.: University Microfilms"
279	1937-1938		The Aymara Indians of the Lake Titicaca Plateau	1948	"La Barre, Weston"	"Menasha, Wis.: American Anthropological Association."
280	1940-1942		"The Aymara of Chucuito, Peru: 1. Magic"	1951	"Tschopik, Harry Jr."	New York: American Museum of Natural History. 133-308 p.
281	1950-1951	"Class C Families; Vila RecÌ«ncavo, Bahia, Brazil, sixteenth century - 1951"	Village and plantation life in northeastern Brazil	1957	"Hutchinson, Harry William"	Seattle: University of Washington Press.
282		"Bahia, Brazil, 1550-1835"	"Sugar plantations in the formation of Brazilian society: Bahia, 1550-1835"	1985	"Schwartz, Stuart B."	Cambridge; New York: Cambridge University Press.
283	1947	"Rio Kuliseu, Mato Grosso State, Brazil, 1749-1947"	"Indian tribes of northern Mato Grosso, Brazil"	1953	"Oberg, K."	"Washington: U.S. Govt. Print. Off. 69-81, 114, 136 p."
284	1981-1984	"ChiripÌÁ Guarani; ItanaramÌ_ village, MbaracayÌ_ region, Paraguay, South America, 1900-1980s"	Prophets of agroforestry: Guarani communities and commercial gathering	1995	"Reed, Richard K."	Austin: University of Texas Press.
285	1946-1949	"Sierra Nevada de Santa Marta, Colombia, 1946-1950"	"The Kogi: a tribe of the Sierra Nevada de Santa Marta, Colombia. Vol. 2"	1951	"Reichel-Dolmatoff, Gerardo"	Bogota: Editorial Iqueima.
286	1946-1949	"Sierra Nevada de Santa Marta, Colombia, 1946-1949"	"The Kogi: a tribe of the Sierra Nevada de Santa Marta, Colombia. Vol. 1, Bogota: El Instituto, 1949-1950"	1950	"Reichel-Dolmatoff, Gerardo"	
287	1962	Argentina	Mataco marriage	1963	"Fock, Niels"	"Folk, Dansk Ethnografisk Tidsskrift -- Vol. 5, Kobenhavn: Danish Ethnographical Association. 91-101 p."
288	1939		Report on the ethnography of the Mataco Indians of the Argentine Gran Chaco	1944	"MÌ©traux, Alfred"	"Relaciones de la Sociedad Argentina de Antropologia -- Vol. 4, Buenos Aires: [s.n.]."
289			Suicide among the Matako of the Gran Chaco	1943	"MÌ©traux, Alfred"	"American Indigena -- Vol. 3, Mexico, D. F.: Instituto Indigenista Americano. 199-209 p."
290	1952-1953	"TapajÌ_s River area, State of Para, Brazil, 1952-1953"	Headhunter's heritage: social and economic change among the MundurucÌ_ Indians	1960	"Murphy, Robert Francis"	Berkeley: University of California Press.
291	1983-1987	"Aluku tribe, Lawa river region, French Guiana, 1949-1989"	"The remaking of the Aluku: culture, politics, and Maroon ethnicity in French South America"	1990	"Bilby, Kenneth M."	"Ann Arbor, Mich.: University Microfilms International"
292	1948-1958	"Aluku tribe, French Guiana and Suriname, 1948-1958"	The Boni refugee Blacks of French Guiana	1961	"Hurault, Jean"	Dakar: IFAN.
293	1970-1972	"Paramaccan tribe, Suriname and French Guiana, 1915-1972"	The Paramacca Maroons: a study in religious acculturation	1973	"Lenoir, John D."	"Ann Arbor, Mich.: University Microfilms International"
294	1961-1978	"Republic Suriname and French Guiana, 1880-1950"	"The Great Father and the Danger: religious cults, material forces, and collective fantaises in the world of the Surinamese Maroons"	1991	"Thoden van Velzen, H. U. E."	"Leiden, The Netherlands: KITLV Press."
295	1976-1979	"Tabiki, Surinamem, 1972-1978"	Bakku: possessing spirits of witchcraft on the Tapanahony	1980	"Vernon, Diane"	"Nieuwe West-Indische gids -- Vol. 54, no. 1, 's-Gravenhage: M. Nijhoff. 1-39 p."
296			Witchcraft among the Tapanahoni Djuka	1979	"Wetering, Wilhelmina van"	"Maroon societies: rebel slave communities in the Americas, edited by Richard Price, Baltimore: Johns Hopkins University Press. 370-388 p."
297		"Tierra del Fuego, South America"	Analytical and critical bibliography of the tribes of Tierra del Fuego and adjacent territory	1917	"Cooper, John M."	Washington D.C.: Government printing Office.
298	1919-1923	Tierra del Fuego	"The Fireland Indians: Vol. 1. The Selk'nam, on the life and thought of a hunting people of the Great Island of Tierra del Fuego"	1931	"Gusinde, MartinMÌ_dling bei Wien: Verlag der Internationalen Zeitschrift."	
